Comunidades y Ciudades Autonomas;Grupos ECOICOP;Tipo de dato;Periodo;Total
Nacional;Indice general;Indice;2021M12;111.52
Nacional;Indice general;Variacion mensual;2021M12;1.2
Nacional;Indice general;Variacion anual;2021M12;6.5
Nacional;Indice general;Variacion en lo que va de ano;2021M12;6.5
01 AndalucIa;Indice general;Indice;2021M12;111.46
01 AndalucIa;Indice general;Variacion mensual;2021M12;1.3
01 AndalucIa;Indice general;Variacion anual;2021M12;6.7
01 AndalucIa;Indice general;Variacion en lo que va de ano;2021M12;6.7
02 Aragon;Indice general;Indice;2021M12;111.85
02 Aragon;Indice general;Variacion mensual;2021M12;1.1
02 Aragon;Indice general;Variacion anual;2021M12;7.2
02 Aragon;Indice general;Variacion en lo que va de ano;2021M12;7.2
03 Asturias. Principado de;Indice general;Indice;2021M12;110.53
03 Asturias. Principado de;Indice general;Variacion mensual;2021M12;1.1
03 Asturias. Principado de;Indice general;Variacion anual;2021M12;6.2
03 Asturias. Principado de;Indice general;Variacion en lo que va de ano;2021M12;6.2
04 Balears. Illes;Indice general;Indice;2021M12;111.33
04 Balears. Illes;Indice general;Variacion mensual;2021M12;1
04 Balears. Illes;Indice general;Variacion anual;2021M12;6.5
04 Balears. Illes;Indice general;Variacion en lo que va de ano;2021M12;6.5
05 Canarias;Indice general;Indice;2021M12;110.61
05 Canarias;Indice general;Variacion mensual;2021M12;1.2
05 Canarias;Indice general;Variacion anual;2021M12;5.8
05 Canarias;Indice general;Variacion en lo que va de ano;2021M12;5.8
06 Cantabria;Indice general;Indice;2021M12;112.05
06 Cantabria;Indice general;Variacion mensual;2021M12;1.4
06 Cantabria;Indice general;Variacion anual;2021M12;6.8
06 Cantabria;Indice general;Variacion en lo que va de ano;2021M12;6.8
07 Castilla y Leon;Indice general;Indice;2021M12;112.62
07 Castilla y Leon;Indice general;Variacion mensual;2021M12;1.3
07 Castilla y Leon;Indice general;Variacion anual;2021M12;7.3
07 Castilla y Leon;Indice general;Variacion en lo que va de ano;2021M12;7.3
08 Castilla - La Mancha;Indice general;Indice;2021M12;112.68
08 Castilla - La Mancha;Indice general;Variacion mensual;2021M12;1.2
08 Castilla - La Mancha;Indice general;Variacion anual;2021M12;7.6
08 Castilla - La Mancha;Indice general;Variacion en lo que va de ano;2021M12;7.6
09 Cataluna;Indice general;Indice;2021M12;111.59
09 Cataluna;Indice general;Variacion mensual;2021M12;1.2
09 Cataluna;Indice general;Variacion anual;2021M12;6.1
09 Cataluna;Indice general;Variacion en lo que va de ano;2021M12;6.1
10 Comunitat Valenciana;Indice general;Indice;2021M12;111.61
10 Comunitat Valenciana;Indice general;Variacion mensual;2021M12;1.3
10 Comunitat Valenciana;Indice general;Variacion anual;2021M12;6.8
10 Comunitat Valenciana;Indice general;Variacion en lo que va de ano;2021M12;6.8
11 Extremadura;Indice general;Indice;2021M12;111.58
11 Extremadura;Indice general;Variacion mensual;2021M12;1.1
11 Extremadura;Indice general;Variacion anual;2021M12;7.1
11 Extremadura;Indice general;Variacion en lo que va de ano;2021M12;7.1
12 Galicia;Indice general;Indice;2021M12;112.08
12 Galicia;Indice general;Variacion mensual;2021M12;1
12 Galicia;Indice general;Variacion anual;2021M12;6.7
12 Galicia;Indice general;Variacion en lo que va de ano;2021M12;6.7
13 Madrid. Comunidad de;Indice general;Indice;2021M12;110.97
13 Madrid. Comunidad de;Indice general;Variacion mensual;2021M12;1.1
13 Madrid. Comunidad de;Indice general;Variacion anual;2021M12;6.2
13 Madrid. Comunidad de;Indice general;Variacion en lo que va de ano;2021M12;6.2
14 Murcia. Region de;Indice general;Indice;2021M12;110.38
14 Murcia. Region de;Indice general;Variacion mensual;2021M12;1
14 Murcia. Region de;Indice general;Variacion anual;2021M12;6.3
14 Murcia. Region de;Indice general;Variacion en lo que va de ano;2021M12;6.3
15 Navarra. Comunidad Foral de;Indice general;Indice;2021M12;111.76
15 Navarra. Comunidad Foral de;Indice general;Variacion mensual;2021M12;1.2
15 Navarra. Comunidad Foral de;Indice general;Variacion anual;2021M12;6.6
15 Navarra. Comunidad Foral de;Indice general;Variacion en lo que va de ano;2021M12;6.6
16 PaIs Vasco;Indice general;Indice;2021M12;111.82
16 PaIs Vasco;Indice general;Variacion mensual;2021M12;1.2
16 PaIs Vasco;Indice general;Variacion anual;2021M12;6.4
16 PaIs Vasco;Indice general;Variacion en lo que va de ano;2021M12;6.4
17 Rioja. La;Indice general;Indice;2021M12;111.96
17 Rioja. La;Indice general;Variacion mensual;2021M12;1.5
17 Rioja. La;Indice general;Variacion anual;2021M12;7
17 Rioja. La;Indice general;Variacion en lo que va de ano;2021M12;7
18 Ceuta;Indice general;Indice;2021M12;108.63
18 Ceuta;Indice general;Variacion mensual;2021M12;0.9
18 Ceuta;Indice general;Variacion anual;2021M12;5.5
18 Ceuta;Indice general;Variacion en lo que va de ano;2021M12;5.5
19 Melilla;Indice general;Indice;2021M12;111.24
19 Melilla;Indice general;Variacion mensual;2021M12;1.3
19 Melilla;Indice general;Variacion anual;2021M12;6.9
19 Melilla;Indice general;Variacion en lo que va de ano;2021M12;6.9
